Instância,MS_{tabu},T(s),MS_{GRASP},T(s),MS_{PLI},T(s),MS_{GA},T(s)
n25p1,130.23,0.02,130.23,0.03,130.23,0.04,130.23,0.355
n25p2,295.03,0.02,295.03,0.04,295.03,0.04,295.03,0.210
n25p3,219.29,0.04,219.29,0.05,219.29,0.11,219.29,0.239
n50p1,695.30,0.23,695.30,0.24,695.30,1.60,695.30,0.727
n50p2,604.28,0.60,604.28,0.44,604.28,9.96,604.28,0.981
n50p3,519.60,0.74,519.60,0.49,519.60,12.37,519.60,0.877
n100p1,1299.90,8.64,1299.90,2.06,1291.90,600.02,1299.90,5.323
n100p2,1818.50,18.68,1818.50,5.18,1818.50,600.03,1818.50,4.734
n100p3,1705.63,17.76,1707.06,6.26,1699.02,600.03,1706.15,4.189
n200p1,4961.22,65.13,4961.22,19.40,4945.25,600.07,4876.07,15.607
n200p2,4663.40,178.70,4669.34,104.50,4429.10,600.08,4665.08,31.471
n200p3,4919.73,272.95,4957.67,176.96,4715.38,600.08,4927.96,45.163
n400p1,10478.36,1500.26,10488.00,359.63,9305.59,600.18,9976.04,149.017
n400p2,13085.76,1805.02,13108.48,1802.27,6248.32,600.25,13052.73,378.179
n400p3,11206.16,1892.84,12869.30,1800.77,6179.49,600.25,12750.41,438.802