Configuration,InstanceSize,Wins,MeanTimeMS,MeanIteratios
PP1,n100,25,2266.96,14819.84
PP2,n100,25,2233.44,14819.84
PP3,n100,25,2246.4,14819.84
PP4,n100,25,2230.44,14819.84
PP1,n200,25,1884.96,4411.28
PP2,n200,25,1907.84,4411.28
PP3,n200,25,1931.64,4411.28
PP4,n200,25,1904.32,4411.28
PP1,n300,25,4003.2,5207.88
PP2,n300,25,4033.4,5207.88
PP3,n300,25,4006.12,5207.88
PP4,n300,25,4090.8,5207.88
PP1,n400,25,13715.88,6804.84
PP2,n400,25,13786.12,6804.84
PP3,n400,25,13972.8,6804.84
PP4,n400,25,13351.88,6804.84
PP1,n500,25,18310.76,7200.96
PP2,n500,25,18375.92,7200.96
PP3,n500,25,18322.4,7200.96
PP4,n500,25,18458.0,7200.96