Instance,Configuration,Seed,Target,BestSol,TimeMS,Iteration
instance_n010_sd02_0,PP2,0,null,19,346,0
instance_n010_sd02_0,PP4,0,null,19,341,0
instance_n010_sd02_0,PP3,0,null,19,341,0
instance_n010_sd02_0,PP1,0,null,19,340,0
instance_n100_sd02_1,PP4,0,null,20,10,0
instance_n100_sd02_1,PP4,0,null,21,16,12
instance_n100_sd02_1,PP3,0,null,20,16,0
instance_n100_sd02_1,PP3,0,null,21,21,12
instance_n100_sd02_1,PP2,0,null,20,20,0
instance_n100_sd02_1,PP2,0,null,21,35,12
instance_n100_sd02_1,PP1,0,null,20,22,0
instance_n100_sd02_1,PP1,0,null,21,33,12
instance_n100_sd02_0,PP2,0,null,24,280,0
instance_n100_sd02_0,PP4,0,null,24,263,0
instance_n100_sd02_0,PP1,0,null,24,291,0
instance_n100_sd02_0,PP3,0,null,24,262,0
instance_n100_sd02_2,PP1,0,null,21,6,0
instance_n100_sd02_2,PP2,0,null,21,9,0
instance_n100_sd02_2,PP3,0,null,21,6,0
instance_n100_sd02_2,PP4,0,null,21,6,0
instance_n100_sd02_3,PP2,0,null,23,5,0
instance_n100_sd02_3,PP3,0,null,23,5,0
instance_n100_sd02_3,PP1,0,null,23,12,0
instance_n100_sd02_3,PP4,0,null,23,6,0
instance_n100_sd02_4,PP1,0,null,20,5,0
instance_n100_sd02_4,PP3,0,null,20,6,0
instance_n100_sd02_4,PP4,0,null,20,5,0
instance_n100_sd02_4,PP2,0,null,20,5,0
instance_n100_sd04_0,PP2,0,null,40,8,0
instance_n100_sd04_0,PP2,0,null,41,1352,20000
instance_n100_sd04_0,PP1,0,null,40,8,0
instance_n100_sd04_0,PP1,0,null,41,1468,20000
instance_n100_sd04_0,PP3,0,null,40,8,0
instance_n100_sd04_0,PP3,0,null,41,1188,20000
instance_n100_sd04_0,PP4,0,null,40,9,0
instance_n100_sd04_0,PP4,0,null,41,1196,20000
instance_n100_sd04_1,PP1,0,null,47,9,0
instance_n100_sd04_1,PP3,0,null,47,9,0
instance_n100_sd04_1,PP4,0,null,47,8,0
instance_n100_sd04_1,PP2,0,null,47,8,0
instance_n100_sd04_2,PP1,0,null,42,7,0
instance_n100_sd04_2,PP1,0,null,43,8,2
instance_n100_sd04_2,PP1,0,null,44,9,5
instance_n100_sd04_2,PP1,0,null,45,26,118
instance_n100_sd04_2,PP2,0,null,42,8,0
instance_n100_sd04_2,PP2,0,null,43,9,2
instance_n100_sd04_2,PP2,0,null,44,9,5
instance_n100_sd04_2,PP2,0,null,45,26,118
instance_n100_sd04_2,PP3,0,null,42,8,0
instance_n100_sd04_2,PP3,0,null,43,9,2
instance_n100_sd04_2,PP3,0,null,44,10,5
instance_n100_sd04_2,PP3,0,null,45,27,118
instance_n100_sd04_2,PP4,0,null,42,8,0
instance_n100_sd04_2,PP4,0,null,43,9,2
instance_n100_sd04_2,PP4,0,null,44,10,5
instance_n100_sd04_2,PP4,0,null,45,27,118
instance_n100_sd04_3,PP1,0,null,34,8,0
instance_n100_sd04_3,PP2,0,null,34,7,0
instance_n100_sd04_3,PP3,0,null,34,7,0
instance_n100_sd04_3,PP4,0,null,34,7,0
instance_n100_sd04_4,PP2,0,null,41,8,0
instance_n100_sd04_4,PP1,0,null,41,8,0
instance_n100_sd04_4,PP3,0,null,41,15,0
instance_n100_sd04_4,PP4,0,null,41,8,0
instance_n100_sd06_0,PP1,0,null,55,10,0
instance_n100_sd06_0,PP2,0,null,55,10,0
instance_n100_sd06_0,PP4,0,null,55,20,0
instance_n100_sd06_0,PP3,0,null,55,10,0
instance_n100_sd06_1,PP1,0,null,65,12,0
instance_n100_sd06_1,PP1,0,null,66,13,2
instance_n100_sd06_1,PP1,0,null,67,14,5
instance_n100_sd06_1,PP1,0,null,68,15,8
instance_n100_sd06_1,PP2,0,null,65,11,0
instance_n100_sd06_1,PP2,0,null,66,12,2
instance_n100_sd06_1,PP2,0,null,67,13,5
instance_n100_sd06_1,PP2,0,null,68,14,8
instance_n100_sd06_1,PP3,0,null,65,11,0
instance_n100_sd06_1,PP3,0,null,66,12,2
instance_n100_sd06_1,PP3,0,null,67,13,5
instance_n100_sd06_1,PP3,0,null,68,14,8
instance_n100_sd06_1,PP4,0,null,65,11,0
instance_n100_sd06_1,PP4,0,null,66,12,2
instance_n100_sd06_1,PP4,0,null,67,13,5
instance_n100_sd06_1,PP4,0,null,68,14,8
instance_n100_sd06_2,PP1,0,null,50,10,0
instance_n100_sd06_2,PP1,0,null,51,12,16
instance_n100_sd06_2,PP1,0,null,52,13,17
instance_n100_sd06_2,PP1,0,null,53,16,34
instance_n100_sd06_2,PP1,0,null,54,16,35
instance_n100_sd06_2,PP1,0,null,56,1699,20000
instance_n100_sd06_2,PP2,0,null,50,9,0
instance_n100_sd06_2,PP2,0,null,51,15,16
instance_n100_sd06_2,PP2,0,null,52,16,17
instance_n100_sd06_2,PP2,0,null,53,21,34
instance_n100_sd06_2,PP2,0,null,54,22,35
instance_n100_sd06_2,PP2,0,null,56,1608,20000
instance_n100_sd06_2,PP3,0,null,50,9,0
instance_n100_sd06_2,PP3,0,null,51,12,16
instance_n100_sd06_2,PP3,0,null,52,13,17
instance_n100_sd06_2,PP3,0,null,53,15,34
instance_n100_sd06_2,PP3,0,null,54,15,35
instance_n100_sd06_2,PP3,0,null,56,1584,20000
instance_n100_sd06_2,PP4,0,null,50,10,0
instance_n100_sd06_2,PP4,0,null,51,13,16
instance_n100_sd06_2,PP4,0,null,52,13,17
instance_n100_sd06_2,PP4,0,null,53,15,34
instance_n100_sd06_2,PP4,0,null,54,16,35
instance_n100_sd06_2,PP4,0,null,56,1655,20000
instance_n100_sd06_3,PP2,0,null,56,10,0
instance_n100_sd06_3,PP2,0,null,57,10,2
instance_n100_sd06_3,PP2,0,null,60,1407,20000
instance_n100_sd06_3,PP2,0,null,61,1419,10026
instance_n100_sd06_3,PP1,0,null,56,10,0
instance_n100_sd06_3,PP1,0,null,57,10,2
instance_n100_sd06_3,PP1,0,null,60,1488,20000
instance_n100_sd06_3,PP1,0,null,61,1493,10026
instance_n100_sd06_3,PP3,0,null,56,11,0
instance_n100_sd06_3,PP3,0,null,57,11,2
instance_n100_sd06_3,PP3,0,null,60,1431,20000
instance_n100_sd06_3,PP3,0,null,61,1436,10026
instance_n100_sd06_3,PP4,0,null,56,10,0
instance_n100_sd06_3,PP4,0,null,57,11,2
instance_n100_sd06_3,PP4,0,null,60,1488,20000
instance_n100_sd06_3,PP4,0,null,61,1493,10026
instance_n100_sd06_4,PP1,0,null,68,12,0
instance_n100_sd06_4,PP1,0,null,69,14,24
instance_n100_sd06_4,PP2,0,null,68,11,0
instance_n100_sd06_4,PP2,0,null,69,14,24
instance_n100_sd06_4,PP3,0,null,68,11,0
instance_n100_sd06_4,PP3,0,null,69,14,24
instance_n100_sd06_4,PP4,0,null,68,12,0
instance_n100_sd06_4,PP4,0,null,69,14,24
instance_n100_sd08_0,PP1,0,null,75,12,0
instance_n100_sd08_0,PP1,0,null,76,16,28
instance_n100_sd08_0,PP3,0,null,75,12,0
instance_n100_sd08_0,PP3,0,null,76,17,28
instance_n100_sd08_0,PP2,0,null,75,13,0
instance_n100_sd08_0,PP2,0,null,76,17,28
instance_n100_sd08_0,PP4,0,null,75,13,0
instance_n100_sd08_0,PP4,0,null,76,17,28
instance_n100_sd08_1,PP1,0,null,74,14,0
instance_n100_sd08_1,PP1,0,null,75,15,6
instance_n100_sd08_1,PP1,0,null,76,16,9
instance_n100_sd08_1,PP1,0,null,77,16,12
instance_n100_sd08_1,PP1,0,null,78,18,21
instance_n100_sd08_1,PP3,0,null,74,13,0
instance_n100_sd08_1,PP3,0,null,75,14,6
instance_n100_sd08_1,PP3,0,null,76,15,9
instance_n100_sd08_1,PP3,0,null,77,16,12
instance_n100_sd08_1,PP3,0,null,78,17,21
instance_n100_sd08_1,PP2,0,null,74,14,0
instance_n100_sd08_1,PP2,0,null,75,15,6
instance_n100_sd08_1,PP2,0,null,76,16,9
instance_n100_sd08_1,PP2,0,null,77,17,12
instance_n100_sd08_1,PP2,0,null,78,18,21
instance_n100_sd08_1,PP4,0,null,74,14,0
instance_n100_sd08_1,PP4,0,null,75,15,6
instance_n100_sd08_1,PP4,0,null,76,16,9
instance_n100_sd08_1,PP4,0,null,77,17,12
instance_n100_sd08_1,PP4,0,null,78,18,21
instance_n100_sd08_2,PP2,0,null,78,20,0
instance_n100_sd08_2,PP2,0,null,79,28,30
instance_n100_sd08_2,PP1,0,null,78,14,0
instance_n100_sd08_2,PP1,0,null,79,18,30
instance_n100_sd08_2,PP3,0,null,78,19,0
instance_n100_sd08_2,PP3,0,null,79,24,30
instance_n100_sd08_2,PP4,0,null,78,13,0
instance_n100_sd08_2,PP4,0,null,79,18,30
instance_n100_sd08_3,PP1,0,null,70,13,0
instance_n100_sd08_3,PP1,0,null,71,16,20
instance_n100_sd08_3,PP1,0,null,72,16,21
instance_n100_sd08_3,PP1,0,null,73,16,22
instance_n100_sd08_3,PP1,0,null,74,1447,20000
instance_n100_sd08_3,PP2,0,null,70,12,0
instance_n100_sd08_3,PP2,0,null,71,15,20
instance_n100_sd08_3,PP2,0,null,72,16,21
instance_n100_sd08_3,PP2,0,null,73,16,22
instance_n100_sd08_3,PP2,0,null,74,1409,20000
instance_n100_sd08_3,PP3,0,null,70,12,0
instance_n100_sd08_3,PP3,0,null,71,15,20
instance_n100_sd08_3,PP3,0,null,72,15,21
instance_n100_sd08_3,PP3,0,null,73,16,22
instance_n100_sd08_3,PP3,0,null,74,1406,20000
instance_n100_sd08_3,PP4,0,null,70,13,0
instance_n100_sd08_3,PP4,0,null,71,16,20
instance_n100_sd08_3,PP4,0,null,72,16,21
instance_n100_sd08_3,PP4,0,null,73,16,22
instance_n100_sd08_3,PP4,0,null,74,1526,20000
instance_n100_sd08_4,PP2,0,null,68,12,0
instance_n100_sd08_4,PP2,0,null,69,1928,10728
instance_n100_sd08_4,PP2,0,null,70,1928,10729
instance_n100_sd08_4,PP2,0,null,71,2263,12124
instance_n100_sd08_4,PP2,0,null,72,5231,40000
instance_n100_sd08_4,PP1,0,null,68,12,0
instance_n100_sd08_4,PP1,0,null,69,1853,10728
instance_n100_sd08_4,PP1,0,null,70,1853,10729
instance_n100_sd08_4,PP1,0,null,71,2156,12124
instance_n100_sd08_4,PP1,0,null,72,5282,40000
instance_n100_sd08_4,PP3,0,null,68,13,0
instance_n100_sd08_4,PP3,0,null,69,1992,10728
instance_n100_sd08_4,PP3,0,null,70,1992,10729
instance_n100_sd08_4,PP3,0,null,71,2251,12124
instance_n100_sd08_4,PP3,0,null,72,5311,40000
instance_n100_sd08_4,PP4,0,null,68,12,0
instance_n100_sd08_4,PP4,0,null,69,1741,10728
instance_n100_sd08_4,PP4,0,null,70,1742,10729
instance_n100_sd08_4,PP4,0,null,71,2007,12124
instance_n100_sd08_4,PP4,0,null,72,5058,40000
instance_n100_sd10_0,PP1,0,null,88,15,0
instance_n100_sd10_0,PP1,0,null,89,16,2
instance_n100_sd10_0,PP1,0,null,90,17,5
instance_n100_sd10_0,PP1,0,null,91,17,8
instance_n100_sd10_0,PP1,0,null,92,18,11
instance_n100_sd10_0,PP1,0,null,93,19,14
instance_n100_sd10_0,PP2,0,null,88,16,0
instance_n100_sd10_0,PP2,0,null,89,16,2
instance_n100_sd10_0,PP2,0,null,90,17,5
instance_n100_sd10_0,PP2,0,null,91,18,8
instance_n100_sd10_0,PP2,0,null,92,19,11
instance_n100_sd10_0,PP2,0,null,93,20,14
instance_n100_sd10_0,PP3,0,null,88,17,0
instance_n100_sd10_0,PP3,0,null,89,18,2
instance_n100_sd10_0,PP3,0,null,90,19,5
instance_n100_sd10_0,PP3,0,null,91,19,8
instance_n100_sd10_0,PP3,0,null,92,20,11
instance_n100_sd10_0,PP3,0,null,93,21,14
instance_n100_sd10_0,PP4,0,null,88,32,0
instance_n100_sd10_0,PP4,0,null,89,33,2
instance_n100_sd10_0,PP4,0,null,90,36,5
instance_n100_sd10_0,PP4,0,null,91,36,8
instance_n100_sd10_0,PP4,0,null,92,39,11
instance_n100_sd10_0,PP4,0,null,93,40,14
instance_n100_sd10_1,PP1,0,null,89,14,0
instance_n100_sd10_1,PP1,0,null,91,1461,20000
instance_n100_sd10_1,PP1,0,null,92,3004,30000
instance_n100_sd10_1,PP1,0,null,93,3009,20032
instance_n100_sd10_1,PP1,0,null,94,3014,20065
instance_n100_sd10_1,PP1,0,null,95,3019,20098
instance_n100_sd10_1,PP1,0,null,96,3024,20131
instance_n100_sd10_1,PP1,0,null,97,4901,30139
instance_n100_sd10_1,PP1,0,null,98,10783,70147
instance_n100_sd10_1,PP2,0,null,89,16,0
instance_n100_sd10_1,PP2,0,null,91,1562,20000
instance_n100_sd10_1,PP2,0,null,92,3167,30000
instance_n100_sd10_1,PP2,0,null,93,3172,20032
instance_n100_sd10_1,PP2,0,null,94,3177,20065
instance_n100_sd10_1,PP2,0,null,95,3182,20098
instance_n100_sd10_1,PP2,0,null,96,3187,20131
instance_n100_sd10_1,PP2,0,null,97,4964,30139
instance_n100_sd10_1,PP2,0,null,98,10943,70147
instance_n100_sd10_1,PP3,0,null,89,14,0
instance_n100_sd10_1,PP3,0,null,91,1494,20000
instance_n100_sd10_1,PP3,0,null,92,2953,30000
instance_n100_sd10_1,PP3,0,null,93,2958,20032
instance_n100_sd10_1,PP3,0,null,94,2962,20065
instance_n100_sd10_1,PP3,0,null,95,2967,20098
instance_n100_sd10_1,PP3,0,null,96,2972,20131
instance_n100_sd10_1,PP3,0,null,97,4699,30139
instance_n100_sd10_1,PP3,0,null,98,10797,70147
instance_n100_sd10_1,PP4,0,null,89,15,0
instance_n100_sd10_1,PP4,0,null,91,1516,20000
instance_n100_sd10_1,PP4,0,null,92,2954,30000
instance_n100_sd10_1,PP4,0,null,93,2959,20032
instance_n100_sd10_1,PP4,0,null,94,2963,20065
instance_n100_sd10_1,PP4,0,null,95,2968,20098
instance_n100_sd10_1,PP4,0,null,96,2974,20131
instance_n100_sd10_1,PP4,0,null,97,4754,30139
instance_n100_sd10_1,PP4,0,null,98,10988,70147
instance_n100_sd10_2,PP2,0,null,91,16,0
instance_n100_sd10_2,PP2,0,null,92,17,2
instance_n100_sd10_2,PP2,0,null,93,17,3
instance_n100_sd10_2,PP2,0,null,94,18,6
instance_n100_sd10_2,PP2,0,null,95,18,7
instance_n100_sd10_2,PP2,0,null,96,19,10
instance_n100_sd10_2,PP2,0,null,97,5112,40000
instance_n100_sd10_2,PP2,0,null,98,11884,70031
instance_n100_sd10_2,PP1,0,null,91,15,0
instance_n100_sd10_2,PP1,0,null,92,16,2
instance_n100_sd10_2,PP1,0,null,93,16,3
instance_n100_sd10_2,PP1,0,null,94,17,6
instance_n100_sd10_2,PP1,0,null,95,18,7
instance_n100_sd10_2,PP1,0,null,96,18,10
instance_n100_sd10_2,PP1,0,null,97,5264,40000
instance_n100_sd10_2,PP1,0,null,98,11917,70031
instance_n100_sd10_2,PP3,0,null,91,15,0
instance_n100_sd10_2,PP3,0,null,92,16,2
instance_n100_sd10_2,PP3,0,null,93,17,3
instance_n100_sd10_2,PP3,0,null,94,17,6
instance_n100_sd10_2,PP3,0,null,95,18,7
instance_n100_sd10_2,PP3,0,null,96,19,10
instance_n100_sd10_2,PP3,0,null,97,5314,40000
instance_n100_sd10_2,PP3,0,null,98,12126,70031
instance_n100_sd10_2,PP4,0,null,91,16,0
instance_n100_sd10_2,PP4,0,null,92,17,2
instance_n100_sd10_2,PP4,0,null,93,17,3
instance_n100_sd10_2,PP4,0,null,94,18,6
instance_n100_sd10_2,PP4,0,null,95,18,7
instance_n100_sd10_2,PP4,0,null,96,19,10
instance_n100_sd10_2,PP4,0,null,97,5205,40000
instance_n100_sd10_2,PP4,0,null,98,11851,70031
instance_n100_sd10_3,PP1,0,null,109,17,0
instance_n100_sd10_3,PP3,0,null,109,18,0
instance_n100_sd10_3,PP2,0,null,109,17,0
instance_n100_sd10_3,PP4,0,null,109,19,0
instance_n100_sd10_4,PP1,0,null,98,17,0
instance_n100_sd10_4,PP1,0,null,99,20,16
instance_n100_sd10_4,PP1,0,null,100,20,17
instance_n100_sd10_4,PP1,0,null,101,21,18
instance_n100_sd10_4,PP1,0,null,102,21,19
instance_n100_sd10_4,PP1,0,null,103,21,20
instance_n100_sd10_4,PP1,0,null,104,20312,120000
instance_n100_sd10_4,PP1,0,null,105,22060,120037
instance_n100_sd10_4,PP2,0,null,98,17,0
instance_n100_sd10_4,PP2,0,null,99,20,16
instance_n100_sd10_4,PP2,0,null,100,20,17
instance_n100_sd10_4,PP2,0,null,101,21,18
instance_n100_sd10_4,PP2,0,null,102,21,19
instance_n100_sd10_4,PP2,0,null,103,21,20
instance_n100_sd10_4,PP2,0,null,104,19736,120000
instance_n100_sd10_4,PP2,0,null,105,21469,120037
instance_n100_sd10_4,PP3,0,null,98,15,0
instance_n100_sd10_4,PP3,0,null,99,18,16
instance_n100_sd10_4,PP3,0,null,100,19,17
instance_n100_sd10_4,PP3,0,null,101,19,18
instance_n100_sd10_4,PP3,0,null,102,19,19
instance_n100_sd10_4,PP3,0,null,103,19,20
instance_n100_sd10_4,PP3,0,null,104,20162,120000
instance_n100_sd10_4,PP3,0,null,105,21819,120037
instance_n100_sd10_4,PP4,0,null,98,17,0
instance_n100_sd10_4,PP4,0,null,99,20,16
instance_n100_sd10_4,PP4,0,null,100,20,17
instance_n100_sd10_4,PP4,0,null,101,20,18
instance_n100_sd10_4,PP4,0,null,102,21,19
instance_n100_sd10_4,PP4,0,null,103,21,20
instance_n100_sd10_4,PP4,0,null,104,19775,120000
instance_n100_sd10_4,PP4,0,null,105,21488,120037
instance_n200_sd02_1,PP1,0,null,23,19,0
instance_n200_sd02_1,PP2,0,null,23,20,0
instance_n200_sd02_1,PP3,0,null,23,20,0
instance_n200_sd02_1,PP4,0,null,23,20,0
instance_n200_sd02_0,PP1,0,null,23,55,0
instance_n200_sd02_0,PP3,0,null,23,22,0
instance_n200_sd02_0,PP2,0,null,23,32,0
instance_n200_sd02_0,PP4,0,null,23,21,0
instance_n200_sd02_2,PP3,0,null,22,21,0
instance_n200_sd02_2,PP2,0,null,22,20,0
instance_n200_sd02_2,PP1,0,null,22,26,0
instance_n200_sd02_2,PP4,0,null,22,21,0
instance_n200_sd02_3,PP1,0,null,21,21,0
instance_n200_sd02_3,PP2,0,null,21,22,0
instance_n200_sd02_3,PP3,0,null,21,43,0
instance_n200_sd02_3,PP4,0,null,21,19,0
instance_n200_sd02_4,PP1,0,null,22,20,0
instance_n200_sd02_4,PP1,0,null,23,25,12
instance_n200_sd02_4,PP2,0,null,22,19,0
instance_n200_sd02_4,PP2,0,null,23,25,12
instance_n200_sd02_4,PP3,0,null,22,20,0
instance_n200_sd02_4,PP3,0,null,23,25,12
instance_n200_sd02_4,PP4,0,null,22,21,0
instance_n200_sd02_4,PP4,0,null,23,27,12
instance_n200_sd04_0,PP1,0,null,44,32,0
instance_n200_sd04_0,PP1,0,null,45,5840,20000
instance_n200_sd04_0,PP3,0,null,44,52,0
instance_n200_sd04_0,PP3,0,null,45,5908,20000
instance_n200_sd04_0,PP2,0,null,44,34,0
instance_n200_sd04_0,PP2,0,null,45,5861,20000
instance_n200_sd04_0,PP4,0,null,44,33,0
instance_n200_sd04_0,PP4,0,null,45,5842,20000
instance_n200_sd04_1,PP1,0,null,44,29,0
instance_n200_sd04_1,PP2,0,null,44,30,0
instance_n200_sd04_1,PP3,0,null,44,31,0
instance_n200_sd04_1,PP4,0,null,44,31,0
instance_n200_sd04_2,PP1,0,null,47,39,0
instance_n200_sd04_2,PP2,0,null,47,32,0
instance_n200_sd04_2,PP3,0,null,47,32,0
instance_n200_sd04_2,PP4,0,null,47,31,0
instance_n200_sd04_3,PP1,0,null,47,31,0
instance_n200_sd04_3,PP3,0,null,47,31,0
instance_n200_sd04_3,PP2,0,null,47,31,0
instance_n200_sd04_3,PP4,0,null,47,32,0
instance_n200_sd04_4,PP1,0,null,49,33,0
instance_n200_sd04_4,PP2,0,null,49,32,0
instance_n200_sd04_4,PP3,0,null,49,34,0
instance_n200_sd04_4,PP4,0,null,49,37,0
instance_n200_sd06_0,PP2,0,null,63,44,0
instance_n200_sd06_0,PP2,0,null,64,9850,30000
instance_n200_sd06_0,PP1,0,null,63,48,0
instance_n200_sd06_0,PP1,0,null,64,9987,30000
instance_n200_sd06_0,PP3,0,null,63,58,0
instance_n200_sd06_0,PP3,0,null,64,9817,30000
instance_n200_sd06_0,PP4,0,null,63,44,0
instance_n200_sd06_0,PP4,0,null,64,10222,30000
instance_n200_sd06_1,PP1,0,null,70,42,0
instance_n200_sd06_1,PP1,0,null,71,43,2
instance_n200_sd06_1,PP1,0,null,72,45,5
instance_n200_sd06_1,PP2,0,null,70,44,0
instance_n200_sd06_1,PP2,0,null,71,46,2
instance_n200_sd06_1,PP2,0,null,72,48,5
instance_n200_sd06_1,PP3,0,null,70,44,0
instance_n200_sd06_1,PP3,0,null,71,46,2
instance_n200_sd06_1,PP3,0,null,72,48,5
instance_n200_sd06_1,PP4,0,null,70,44,0
instance_n200_sd06_1,PP4,0,null,71,46,2
instance_n200_sd06_1,PP4,0,null,72,48,5
instance_n200_sd06_2,PP1,0,null,68,44,0
instance_n200_sd06_2,PP2,0,null,68,59,0
instance_n200_sd06_2,PP3,0,null,68,43,0
instance_n200_sd06_2,PP4,0,null,68,45,0
instance_n200_sd06_4,PP1,0,null,58,39,0
instance_n200_sd06_4,PP1,0,null,59,54,26
